Time (msec),A/F Correction #1 (%),A/F Learning #1 (%),A/F Sensor #1 (AFR),Battery Voltage (V),Coolant Temperature (F),Engine Speed (rpm),Feedback Knock Correction* (degrees),Ignition Total Timing (degrees),Injector Duty Cycle (%),Intake Air Temperature (F),Knock Correction Advance (degrees),Manifold Absolute Pressure (psi),Manifold Relative Pressure (psi),Mass Airflow (g/s),Mass Airflow Sensor Voltage (V),Primary Wastegate Duty Cycle (%),Target Boost* (psi relative sea level),Throttle Opening Angle (%),Throttle Sensor Voltage (V)
927942,0.00,-7.03,15.04,13.68,187,2664,0.00,30.50,4.55,118,0.00,4.21,-10.59,10.62,1.80,0.00,-4.18,3.14,0.66
928186,1.56,-7.03,15.04,13.60,187,2648,0.00,30.50,4.52,118,0.00,4.21,-10.59,10.52,1.80,0.00,-4.18,3.14,0.66
928429,2.34,-7.03,14.93,13.60,187,2661,0.00,30.50,4.54,118,0.00,4.21,-10.59,10.51,1.78,0.00,-4.18,3.14,0.64
928673,0.00,-7.03,15.04,13.60,187,2610,0.00,26.00,0.00,118,0.00,3.63,-11.32,7.57,1.62,0.00,-3.87,0.39,0.56
928917,0.00,-7.03,22.05,13.68,187,2622,0.00,20.00,0.00,118,0.00,3.48,-11.17,7.38,1.62,0.00,-3.87,0.39,0.56
929160,0.00,-7.03,25.38,13.68,187,2582,0.00,16.50,0.00,118,0.00,3.63,-11.17,7.42,1.62,0.00,-3.87,0.39,0.56
929405,0.00,-7.03,23.77,13.68,187,2574,0.00,16.50,3.84,118,0.00,3.77,-11.03,7.98,1.66,0.00,-3.87,1.18,0.60
929648,0.00,-7.03,23.77,13.68,187,2639,0.00,36.50,6.14,118,0.00,4.79,-9.58,14.37,2.00,0.00,-3.56,6.67,0.76
929893,-2.34,-7.03,13.90,13.68,187,2617,0.00,38.00,6.14,118,0.00,5.80,-8.85,16.47,2.04,0.00,-3.25,7.45,0.78
930137,-3.91,-7.03,14.13,13.68,187,2537,0.00,38.00,5.95,118,0.00,6.09,-8.71,16.99,2.04,0.00,-3.25,7.45,0.78
930380,-3.12,-7.03,14.59,13.68,187,2592,0.00,38.00,6.09,118,0.00,6.09,-8.71,17.35,2.04,0.00,-3.25,7.45,0.78
930623,-3.91,-7.03,14.70,13.68,187,2576,0.00,38.00,6.05,118,0.00,6.24,-8.56,17.51,2.06,0.00,-3.25,7.45,0.80
930868,-3.91,-7.03,14.70,13.68,187,2600,0.00,38.00,6.66,118,0.00,6.38,-8.27,18.99,2.10,0.00,-2.94,8.24,0.82
931111,-5.47,-7.03,14.47,13.68,187,2621,0.00,38.00,7.27,118,0.00,6.82,-7.98,20.61,2.14,0.00,-2.63,9.41,0.84
931354,-5.47,-8.59,14.36,13.60,187,2620,0.00,37.50,7.25,118,0.00,7.40,-7.40,22.53,2.20,0.00,-2.63,9.80,0.86
931599,-4.69,-8.59,14.81,13.68,187,2620,0.00,37.00,7.82,118,0.00,7.55,-7.11,23.00,2.20,0.00,-2.32,10.20,0.88
931841,-3.91,-8.59,14.93,13.68,187,2649,0.00,37.00,7.91,118,0.00,7.69,-7.11,23.43,2.22,0.00,-2.32,10.20,0.88
932084,-3.91,-8.59,14.59,13.60,187,2651,0.00,37.00,7.93,118,0.00,7.84,-6.96,23.86,2.22,0.00,-2.32,10.20,0.88
932330,-3.12,-8.59,14.81,13.68,187,2683,0.00,37.00,8.03,118,0.00,7.84,-6.82,24.19,2.24,0.00,-2.32,10.59,0.88
932575,-3.12,-8.59,14.70,13.60,187,2698,0.00,37.00,8.06,118,0.00,7.98,-6.82,24.51,2.24,0.00,-2.32,10.59,0.88
932819,-3.91,-8.59,14.59,13.60,187,2702,0.00,36.50,8.07,118,0.00,7.98,-6.82,25.27,2.26,0.00,-2.32,10.59,0.88
933063,-3.91,-8.59,14.47,13.60,187,2720,0.00,36.50,8.13,118,0.00,7.98,-6.82,25.05,2.26,0.00,-2.32,10.59,0.88
933307,-4.69,-8.59,14.59,13.68,187,2738,0.00,36.50,8.18,118,0.00,7.98,-6.82,25.27,2.26,0.00,-2.32,10.98,0.90
933550,-3.91,-8.59,14.70,13.68,187,2752,0.00,37.00,8.22,118,0.00,7.98,-6.82,25.37,2.26,0.00,-2.32,10.59,0.90
933793,-3.12,-8.59,14.70,13.60,187,2771,0.00,36.50,8.28,118,0.00,7.98,-6.82,25.68,2.28,0.00,-2.32,10.98,0.88
934039,-3.91,-8.59,14.70,13.60,187,2804,0.00,37.00,8.31,118,0.00,7.98,-6.82,25.89,2.26,0.00,-2.32,10.98,0.88
934283,-3.12,-8.59,14.70,13.68,187,2807,0.00,37.00,8.38,118,0.00,7.98,-6.82,25.46,2.26,0.00,-2.32,10.59,0.90
934526,-3.12,-8.59,14.81,13.60,187,2813,0.00,37.00,8.40,118,0.00,7.98,-6.82,25.46,2.26,0.00,-2.32,10.59,0.88
934772,-3.12,-8.59,14.59,13.60,187,2829,0.00,37.50,7.85,118,0.00,7.69,-7.40,22.11,2.16,0.00,-2.94,8.24,0.80
935016,-4.69,-7.03,14.36,13.60,187,2847,0.00,36.50,6.07,118,0.00,5.95,-9.00,16.33,2.00,0.00,-3.87,5.88,0.74
935260,1.56,-7.03,15.62,13.60,187,2817,0.00,35.50,5.41,118,0.00,5.37,-9.43,15.11,1.96,0.00,-4.18,5.49,0.72
935505,2.34,-7.03,15.04,13.60,187,2814,0.00,34.00,5.40,118,0.00,4.93,-9.87,13.18,1.90,0.00,-4.49,3.92,0.68
935747,7.03,-7.03,15.50,13.60,187,2825,0.00,33.00,4.85,118,0.00,4.50,-10.45,11.66,1.84,0.00,-4.49,3.14,0.66
935991,9.38,-7.03,15.16,13.60,187,2810,0.00,33.00,4.80,117,0.00,4.35,-10.45,11.51,1.86,0.00,-4.49,3.14,0.66
936236,8.59,-7.03,14.70,13.68,187,2794,0.00,32.50,4.77,117,0.00,4.35,-10.45,11.44,1.84,0.00,-4.49,3.14,0.66
936481,8.59,-7.03,14.70,13.60,187,2787,0.00,32.00,4.76,117,0.00,4.35,-10.45,11.44,1.84,0.00,-4.18,3.14,0.66
936726,9.38,-7.03,14.81,13.60,187,2780,0.00,32.00,4.75,117,0.00,4.35,-10.45,11.39,1.82,0.00,-4.18,3.14,0.66
936970,9.38,-7.03,14.59,13.60,187,2772,0.00,32.50,4.73,117,0.00,4.35,-10.45,11.61,1.84,0.00,-4.18,3.14,0.66
937220,8.59,-7.03,14.59,13.60,187,2755,0.00,32.50,4.70,117,0.00,4.50,-10.30,11.93,1.86,0.00,-4.18,3.53,0.66
937472,8.59,-7.03,14.47,13.60,187,2755,0.00,33.00,5.29,117,0.00,4.50,-10.30,12.15,1.86,0.00,-4.18,3.92,0.66
937719,8.59,-7.03,14.47,13.60,187,2751,0.00,33.00,5.26,117,0.00,4.50,-10.30,12.10,1.86,0.00,-4.18,3.92,0.66
937974,0.00,-7.03,14.13,13.60,187,2722,0.00,27.50,0.00,117,0.00,3.77,-11.32,7.98,1.60,0.00,-4.18,0.00,0.54
938222,0.00,-7.03,19.41,13.60,187,2700,0.00,20.50,0.00,117,0.00,3.48,-11.32,7.35,1.62,0.00,-4.18,0.00,0.54
938469,0.00,-7.03,25.38,13.60,187,2667,0.00,17.00,0.00,117,0.00,3.48,-11.32,7.31,1.60,0.00,-4.18,0.00,0.54
938714,0.00,-7.03,24.00,13.60,187,2654,0.00,17.00,0.00,117,0.00,3.48,-11.32,7.17,1.60,0.00,-4.18,0.00,0.54
938957,0.00,-7.03,23.89,13.60,187,2616,0.00,17.00,0.00,117,0.00,3.48,-11.32,7.10,1.60,0.00,-3.87,0.00,0.54
939200,0.00,-7.03,23.89,13.60,187,2608,0.00,17.00,0.00,117,0.00,3.48,-11.32,7.03,1.58,0.00,-3.87,0.00,0.54
939443,0.00,-7.03,23.77,13.60,187,2570,0.00,16.50,0.00,117,0.00,3.48,-11.32,6.92,1.58,0.00,-3.87,0.00,0.54
939688,0.00,-7.03,23.77,13.68,187,2546,0.00,18.50,3.80,117,0.00,3.77,-11.03,8.33,1.68,0.00,-3.87,1.96,0.60
939929,0.00,-7.03,22.85,13.60,187,2534,0.00,23.50,3.80,117,0.00,3.92,-10.88,9.08,1.72,0.00,-3.87,2.35,0.62
940175,0.00,-7.03,16.77,13.60,187,2528,0.00,28.00,3.77,117,0.00,3.92,-10.74,9.37,1.74,0.00,-3.87,2.75,0.62
940418,0.00,-7.03,15.85,13.60,187,2516,0.00,28.50,4.29,117,0.00,4.06,-10.74,9.48,1.74,0.00,-3.87,2.75,0.64
940664,0.00,-7.03,15.73,13.60,187,2477,0.00,28.50,4.27,117,0.00,4.06,-10.59,9.94,1.76,0.00,-3.56,3.14,0.64
940907,0.00,-7.03,15.50,13.60,187,2488,0.00,31.50,4.78,117,0.00,4.50,-10.01,11.88,1.86,0.00,-3.87,5.10,0.70
941151,-0.78,-7.03,14.81,13.60,187,2504,0.00,36.50,5.88,117,0.00,5.51,-9.14,15.47,2.00,0.00,-2.94,7.06,0.78
941395,-3.91,-7.03,14.13,13.60,187,2481,0.00,38.00,5.82,117,0.00,6.24,-8.56,16.47,2.02,0.00,-2.94,7.45,0.78
941638,-3.91,-7.03,14.59,13.60,187,2448,0.00,37.50,6.38,117,0.00,6.38,-8.27,17.69,2.06,0.00,-2.94,7.84,0.80
941882,-4.69,-7.03,14.47,13.60,187,2461,0.00,37.50,6.30,117,0.00,6.67,-8.13,18.30,2.08,0.00,-2.94,8.24,0.80
942125,-4.69,-7.03,14.47,13.60,187,2482,0.00,37.50,6.36,117,0.00,6.82,-7.98,18.48,2.08,0.00,-2.94,8.24,0.80
942367,-4.69,-7.03,14.59,13.60,187,2484,0.00,37.50,6.35,117,0.00,6.82,-7.98,18.48,2.08,0.00,-2.94,8.24,0.80
942611,-3.91,-7.03,14.70,13.60,187,2493,0.00,37.50,6.38,117,0.00,6.82,-8.13,18.39,2.08,0.00,-2.94,7.84,0.80
942857,-3.12,-7.03,14.81,13.52,187,2489,0.00,38.00,6.37,117,0.00,6.53,-8.42,17.34,2.04,0.00,-2.94,7.45,0.80
943099,-2.34,-7.03,14.93,13.60,187,2498,0.00,38.00,6.39,117,0.00,6.38,-8.42,17.17,2.04,0.00,-2.94,7.45,0.80
943344,-2.34,-7.03,14.70,13.60,187,2499,0.00,38.00,6.36,117,0.00,6.38,-8.27,17.96,2.08,0.00,-2.94,8.24,0.82
943587,-3.91,-7.03,14.47,13.60,187,2512,0.00,36.50,7.50,117,0.00,7.11,-6.96,21.45,2.18,0.00,-2.32,11.37,0.92
943830,-4.69,-8.59,14.13,13.60,187,2516,0.00,36.00,8.59,117,0.00,9.14,-5.66,28.36,2.32,0.00,-1.39,12.94,0.96
944072,-4.69,-8.59,14.70,13.60,187,2533,0.00,35.50,9.73,117,0.00,10.01,-4.79,30.32,2.38,0.00,-1.08,14.12,1.02
944321,-3.91,-8.59,14.81,13.60,187,2551,0.00,34.50,9.76,117,0.00,10.59,-4.06,31.84,2.42,0.00,-0.77,15.29,1.04
944564,-3.12,-7.81,14.81,13.60,187,2568,0.00,34.00,10.41,117,0.00,11.03,-3.63,33.88,2.46,0.00,-0.77,16.08,1.06
944806,-3.12,-7.03,14.70,13.60,187,2616,0.00,34.00,11.16,117,0.00,11.46,-3.34,34.83,2.48,0.00,-0.46,16.47,1.08
945049,-3.12,-6.25,14.70,13.60,187,2634,0.00,34.00,11.19,117,0.00,11.61,-3.19,35.79,2.48,0.00,-0.46,16.86,1.08
945293,-3.12,-6.25,14.59,13.60,187,2681,0.00,33.50,12.01,117,0.00,11.75,-2.90,36.76,2.52,0.00,-0.46,17.25,1.10
945536,-3.12,-5.47,14.70,13.60,187,2712,0.00,33.00,12.15,117,0.00,11.90,-2.90,37.73,2.52,0.00,-0.46,17.25,1.10
945781,-3.91,-4.69,14.59,13.52,187,2743,0.00,33.50,12.29,118,0.00,11.90,-2.90,37.60,2.52,0.00,-0.46,16.86,1.10
946023,-3.91,-4.69,14.70,13.60,187,2789,0.00,33.50,12.39,118,0.00,11.75,-3.05,37.86,2.54,0.00,-0.46,16.86,1.08
946267,-3.91,-3.91,14.59,13.60,187,2812,0.00,33.50,12.00,118,0.00,11.75,-3.19,37.73,2.54,0.00,-0.46,16.47,1.08
946512,-6.25,-1.56,14.47,13.60,187,2846,0.00,33.50,12.75,118,0.00,11.61,-3.19,38.54,2.54,0.00,-0.77,16.47,1.08
946756,-5.47,-1.56,14.59,13.60,187,2896,0.00,34.00,12.24,118,0.00,11.46,-3.34,37.73,2.52,0.00,-0.77,16.47,1.08
946998,-6.25,-1.56,14.59,13.60,187,2910,0.00,34.00,12.42,118,0.00,11.32,-3.48,37.86,2.52,0.00,-0.77,16.08,1.06
947243,-6.25,-1.56,14.59,13.60,187,2949,0.00,34.00,11.95,118,0.00,11.17,-3.77,37.24,2.52,0.00,-0.77,15.69,1.06
947486,-6.25,-1.56,14.70,13.60,187,2977,0.00,34.00,12.07,118,0.00,11.03,-3.77,36.99,2.52,0.00,-0.77,15.69,1.04
947729,-6.25,-1.56,14.70,13.60,187,3004,0.00,34.00,12.19,118,0.00,10.88,-3.92,37.12,2.52,0.00,-0.77,15.69,1.04
947973,-6.25,-1.56,14.70,13.60,187,3042,0.00,34.00,12.33,118,0.00,10.88,-3.92,36.88,2.52,0.00,-1.08,15.69,1.04
948217,-7.03,-3.12,14.70,13.60,187,3058,0.00,34.00,12.40,120,0.00,10.88,-3.92,37.73,2.52,0.00,-1.08,15.69,1.04
948461,-6.25,-3.91,14.70,13.60,187,3100,0.00,34.50,11.24,120,0.00,10.45,-4.35,35.08,2.46,0.00,-1.70,14.12,1.00
948705,-7.03,-3.91,14.59,13.60,187,3113,0.00,36.00,10.63,120,0.00,9.58,-5.37,31.84,2.40,0.00,-1.70,12.94,0.96
948948,-5.47,-4.69,14.81,13.60,187,3124,0.00,36.50,10.00,120,0.00,9.14,-5.80,30.43,2.38,0.00,-2.01,12.55,0.96
949191,-3.91,-5.47,14.81,13.60,187,3147,0.00,36.50,10.07,120,0.00,8.85,-5.95,30.32,2.38,0.00,-2.01,12.55,0.94
949437,-3.12,-6.25,14.81,13.60,187,3171,0.00,37.50,10.11,120,0.00,8.71,-6.09,29.66,2.36,0.00,-2.01,12.16,0.94
949681,-3.12,-6.25,14.81,13.60,187,3166,0.00,37.50,10.13,120,0.00,8.71,-6.24,29.66,2.34,0.00,-2.32,12.16,0.94
949923,-2.34,-8.59,14.81,13.60,187,3183,0.00,38.00,9.51,120,0.00,8.56,-6.38,29.00,2.34,0.00,-2.32,12.16,0.94
950166,0.00,-8.59,14.93,13.60,187,3204,0.00,38.00,9.57,118,0.00,8.42,-6.38,28.36,2.34,0.00,-2.63,11.76,0.92
950409,-0.78,-8.59,14.70,13.68,187,3213,0.00,38.00,8.25,118,0.00,7.84,-7.25,25.46,2.26,0.00,-2.94,10.20,0.88
950654,0.78,-8.59,14.81,13.68,187,3236,0.00,38.50,8.28,118,0.00,7.25,-7.55,23.86,2.22,0.00,-2.94,10.20,0.86
950898,1.56,-7.03,14.70,13.60,187,3242,0.00,39.00,7.61,118,0.00,6.96,-7.84,22.46,2.20,0.00,-3.25,9.41,0.84
951141,0.78,-7.03,14.59,13.60,187,3230,0.00,39.00,7.60,118,0.00,6.67,-8.13,21.36,2.16,0.00,-3.56,9.02,0.84
951384,1.56,-7.03,14.70,13.60,187,3244,0.00,39.00,7.61,118,0.00,6.53,-8.27,21.61,2.16,0.00,-3.56,9.02,0.84
951629,1.56,-7.03,14.59,13.60,187,3246,0.00,39.00,7.62,118,0.00,6.53,-8.27,21.44,2.16,0.00,-3.56,9.02,0.84
951873,1.56,-7.03,14.70,13.60,187,3245,0.00,39.00,7.62,118,0.00,6.53,-8.27,21.27,2.16,0.00,-3.56,9.02,0.84
952118,2.34,-7.03,14.70,13.60,187,3232,0.00,39.00,7.63,118,0.00,6.53,-8.27,21.45,2.16,0.00,-3.56,9.02,0.82
952362,0.78,-7.03,14.36,13.60,187,3248,0.00,37.00,5.54,118,0.00,5.22,-9.72,14.57,1.94,0.00,-4.80,5.49,0.72
952604,7.03,-7.03,15.73,13.60,187,3237,0.00,36.50,5.52,118,0.00,4.93,-9.87,13.82,1.92,0.00,-4.80,5.10,0.72
952851,8.59,-7.03,14.93,13.60,187,3221,0.00,36.50,5.57,118,0.00,4.64,-10.16,13.18,1.90,0.00,-5.10,5.10,0.70
953094,8.59,-7.03,14.70,13.60,187,3234,0.00,36.50,5.55,118,0.00,4.64,-10.16,13.18,1.90,0.00,-5.10,5.10,0.70
953340,8.59,-7.03,14.59,13.68,187,3238,0.00,36.50,5.53,118,0.00,4.64,-10.16,12.83,1.88,0.00,-5.10,4.71,0.70
953585,8.59,-7.03,14.70,13.60,187,3221,0.00,36.50,4.81,118,0.00,4.35,-10.45,11.50,1.84,0.00,-5.10,3.92,0.66
953828,11.72,-7.03,15.04,13.68,187,3212,0.00,36.50,4.78,118,0.00,4.21,-10.59,10.85,1.80,0.00,-5.10,3.14,0.66
954072,12.50,-7.03,14.81,13.68,187,3187,0.00,36.50,4.76,118,0.00,4.06,-10.88,10.39,1.76,0.00,-5.10,2.75,0.64
954315,11.72,-7.03,14.59,13.68,187,3170,0.00,36.00,4.73,118,0.00,3.77,-11.03,9.42,1.74,0.00,-4.80,1.96,0.62
954558,0.00,-7.03,17.00,13.68,187,3146,0.00,35.50,4.03,118,0.00,3.77,-11.03,8.44,1.68,0.00,-4.80,1.18,0.58
954803,0.00,-7.03,20.44,13.68,187,3136,0.00,35.50,4.02,118,0.00,3.77,-11.17,8.26,1.68,0.00,-4.80,1.18,0.58
955050,0.00,-7.03,18.60,13.68,187,3121,0.00,35.50,3.99,118,0.00,3.63,-11.17,8.16,1.68,0.00,-4.80,1.18,0.58
955295,0.00,-7.03,17.46,13.68,187,3096,0.00,35.50,3.96,118,0.00,3.48,-11.17,8.16,1.66,0.00,-4.80,1.18,0.58
955539,0.00,-7.03,17.57,13.60,187,3071,0.00,33.50,0.00,118,0.00,3.63,-11.17,8.30,1.68,0.00,-4.80,1.18,0.58
955790,0.00,-7.03,18.38,13.60,187,3065,0.00,34.50,3.91,117,0.00,3.63,-11.17,8.29,1.68,0.00,-4.80,1.18,0.58
956038,0.00,-7.03,17.11,13.60,187,3054,0.00,34.50,4.56,118,0.00,3.77,-11.03,9.70,1.76,0.00,-4.80,2.35,0.62
956287,0.00,-7.03,15.27,13.68,187,3036,0.00,34.00,4.53,118,0.00,3.92,-10.74,10.68,1.80,0.00,-4.80,3.53,0.66
956530,0.78,-7.03,15.04,13.68,187,3023,0.00,34.50,5.16,118,0.00,4.35,-10.45,12.15,1.86,0.00,-4.80,3.92,0.68
956772,0.00,-7.03,14.59,13.68,187,3017,0.00,34.50,5.17,117,0.00,4.35,-10.30,12.15,1.86,0.00,-4.80,3.92,0.68
957019,0.00,-7.03,14.59,13.68,187,3004,0.00,34.50,5.13,117,0.00,4.50,-10.30,12.35,1.86,0.00,-4.80,4.31,0.68
957262,0.00,-7.03,14.70,13.68,187,3006,0.00,34.50,5.13,117,0.00,4.50,-10.30,12.27,1.86,0.00,-4.80,4.31,0.68
957507,0.78,-7.03,14.70,13.68,187,3001,0.00,35.00,5.12,117,0.00,4.50,-10.30,12.63,1.88,0.00,-4.49,4.31,0.68
957749,0.78,-7.03,14.59,13.68,187,3000,0.00,34.00,5.09,117,0.00,4.35,-10.45,11.71,1.84,0.00,-4.49,3.53,0.66
958002,2.34,-7.03,14.93,13.68,187,2983,0.00,33.50,5.09,117,0.00,4.21,-10.59,11.45,1.82,0.00,-4.49,3.53,0.66
958247,3.12,-7.03,14.93,13.68,187,2958,0.00,33.50,5.05,117,0.00,4.21,-10.59,11.28,1.82,0.00,-4.49,3.53,0.66
958491,3.12,-7.03,14.70,13.68,187,2952,0.00,33.50,4.41,117,0.00,4.21,-10.59,10.96,1.80,0.00,-4.49,3.14,0.64
958734,4.69,-7.03,14.81,13.60,187,2920,0.00,33.00,5.02,117,0.00,4.06,-10.74,11.18,1.82,0.00,-4.49,3.14,0.64
958978,4.69,-7.03,14.70,13.68,187,2930,0.00,33.00,5.00,117,0.00,4.06,-10.74,11.07,1.82,0.00,-4.49,3.14,0.64
959221,5.47,-7.03,14.81,13.68,187,2906,0.00,33.00,4.96,117,0.00,4.21,-10.59,10.95,1.82,0.00,-4.49,3.14,0.64
959463,5.47,-7.03,14.81,13.68,187,2884,0.00,33.00,4.96,117,0.00,4.21,-10.59,11.12,1.82,0.00,-4.49,3.14,0.66
959706,5.47,-7.03,14.70,13.60,187,2888,0.00,34.00,4.93,117,0.00,4.35,-10.30,12.10,1.88,0.00,-4.49,4.31,0.68
959949,4.69,-7.03,14.59,13.60,187,2864,0.00,34.50,5.50,117,0.00,4.64,-10.16,13.25,1.90,0.00,-4.49,4.71,0.70
960193,2.34,-7.03,14.13,13.60,187,2878,0.00,35.50,5.53,117,0.00,4.93,-9.87,14.69,1.96,0.00,-4.18,5.49,0.72
960439,2.34,-7.03,14.47,13.60,187,2855,0.00,36.50,6.07,117,0.00,5.22,-9.43,15.96,2.00,0.00,-3.87,6.27,0.76
960683,1.56,-7.03,14.47,13.60,187,2855,0.00,38.00,6.70,117,0.00,5.66,-9.00,17.51,2.08,0.00,-3.56,7.45,0.78
960928,0.78,-7.03,14.36,13.60,187,2861,0.00,38.50,6.71,117,0.00,6.09,-8.56,19.51,2.12,0.00,-3.25,8.24,0.82
961173,0.00,-7.03,14.36,13.60,187,2854,0.00,38.50,7.30,117,0.00,6.53,-8.27,20.86,2.16,0.00,-2.94,8.63,0.82
961414,0.00,-7.03,14.59,13.60,187,2854,0.00,38.00,7.32,117,0.00,6.82,-7.98,21.61,2.18,0.00,-2.94,9.02,0.84
961660,0.00,-7.03,14.59,13.60,187,2855,0.00,38.00,7.92,117,0.00,6.96,-7.69,22.96,2.20,0.00,-2.94,9.41,0.86
961904,-0.78,-7.03,14.59,13.60,187,2862,0.00,38.00,7.94,117,0.00,7.25,-7.55,23.50,2.22,0.00,-2.94,9.80,0.86
962146,0.78,-8.59,14.81,13.60,187,2861,0.00,38.00,7.93,117,0.00,7.25,-7.40,23.94,2.22,0.00,-2.94,10.20,0.86
962391,0.78,-8.59,14.70,13.60,187,2867,0.00,38.00,7.95,117,0.00,7.25,-7.69,23.94,2.16,0.00,-2.94,8.63,0.82
962633,-3.12,-7.03,14.01,13.60,187,2868,0.00,36.50,6.12,117,0.00,5.80,-9.29,15.54,1.98,0.00,-4.18,5.49,0.72
962880,0.00,-7.03,14.81,13.52,187,2842,0.00,33.50,4.85,117,0.00,4.79,-10.01,12.41,1.88,0.00,-4.49,3.92,0.68
963123,7.03,-7.03,15.96,13.60,187,2817,0.00,33.00,4.88,117,0.00,4.50,-10.30,12.22,1.86,0.00,-4.49,3.92,0.68
963367,8.59,-7.03,15.16,13.60,187,2836,0.00,33.50,4.84,117,0.00,4.50,-10.30,12.15,1.86,0.00,-4.49,3.92,0.68
963608,8.59,-7.03,14.93,13.60,187,2838,0.00,33.00,4.84,117,0.00,4.50,-10.30,11.93,1.86,0.00,-4.49,3.53,0.66
963854,8.59,-7.03,14.70,13.60,187,2813,0.00,33.00,4.80,117,0.00,4.35,-10.45,11.56,1.84,0.00,-4.49,3.53,0.66
964098,9.38,-7.03,14.70,13.60,187,2833,0.00,33.00,4.83,117,0.00,4.35,-10.45,11.71,1.84,0.00,-4.49,3.53,0.66
964341,9.38,-7.03,14.59,13.68,187,2808,0.00,34.00,5.39,117,0.00,4.50,-10.16,12.35,1.88,0.00,-4.18,4.31,0.68
964584,7.81,-7.03,14.36,13.60,187,2786,0.00,35.50,5.94,117,0.00,4.93,-9.87,14.75,1.96,0.00,-4.18,5.49,0.72
964827,4.69,-7.03,14.13,13.60,187,2756,0.00,36.00,5.95,117,0.00,5.22,-9.43,15.72,1.98,0.00,-3.87,5.88,0.74
965070,4.69,-7.03,14.36,13.60,187,2800,0.00,37.50,5.97,117,0.00,5.51,-9.14,16.47,2.04,0.00,-3.87,6.67,0.76
965314,2.34,-7.03,14.24,13.60,187,2765,0.00,38.00,6.49,117,0.00,5.80,-9.00,17.43,2.04,0.00,-3.56,7.06,0.78
965558,0.78,-7.03,14.36,13.60,187,2789,0.00,38.50,7.14,117,0.00,6.24,-8.56,20.09,2.12,0.00,-3.25,8.63,0.82
965802,0.00,-7.03,14.36,13.60,187,2783,0.00,38.00,7.09,117,0.00,6.67,-7.98,21.11,2.16,0.00,-2.94,9.02,0.84
966045,-0.78,-7.03,14.47,13.60,187,2780,0.00,38.00,7.71,117,0.00,6.96,-7.69,22.19,2.20,0.00,-2.63,9.41,0.84
966287,-1.56,-7.03,14.36,13.60,187,2788,0.00,37.50,7.73,117,0.00,7.25,-7.55,23.07,2.20,0.00,-2.63,9.80,0.86
966531,-0.78,-8.59,14.47,13.60,187,2784,0.00,37.50,7.73,117,0.00,7.40,-7.40,24.05,2.24,0.00,-2.63,10.20,0.88
966775,-0.78,-8.59,14.47,13.60,187,2786,0.00,37.00,8.32,117,0.00,7.69,-7.11,25.26,2.26,0.00,-2.63,10.59,0.88
967018,-1.56,-8.59,14.47,13.52,187,2804,0.00,36.50,8.38,117,0.00,7.84,-6.96,25.25,2.26,0.00,-2.32,10.98,0.90
967261,-1.56,-8.59,14.47,13.52,187,2816,0.00,36.50,8.41,117,0.00,7.98,-6.82,26.29,2.28,0.00,-2.32,10.98,0.90
967504,-1.56,-8.59,14.59,13.60,187,2821,0.00,36.50,8.40,117,0.00,7.98,-6.67,26.20,2.28,0.00,-2.32,10.98,0.90
967750,-1.56,-8.59,14.70,13.60,187,2831,0.00,36.50,9.06,117,0.00,8.27,-6.53,26.82,2.30,0.00,-2.32,11.37,0.92
967991,-1.56,-8.59,14.59,13.60,187,2854,0.00,36.50,9.13,117,0.00,8.27,-6.53,27.53,2.32,0.00,-2.32,11.76,0.92
968235,-1.56,-8.59,14.59,13.60,187,2859,0.00,36.50,9.14,117,0.00,8.42,-6.38,27.95,2.32,0.00,-2.32,11.76,0.92
968481,-1.56,-8.59,14.59,13.60,187,2879,0.00,36.50,9.21,117,0.00,8.42,-6.38,28.16,2.32,0.00,-2.32,11.76,0.92
968723,-1.56,-8.59,14.70,13.60,187,2888,0.00,36.50,9.24,117,0.00,8.42,-6.38,28.36,2.32,0.00,-2.32,11.76,0.92
968968,-1.56,-8.59,14.70,13.60,187,2908,0.00,36.50,9.31,117,0.00,8.42,-6.38,28.47,2.32,0.00,-2.01,11.76,0.92
969211,-1.56,-8.59,14.70,13.60,187,2938,0.00,36.50,9.39,117,0.00,8.42,-6.24,28.47,2.34,0.00,-2.01,11.76,0.92
969457,-1.56,-8.59,14.70,13.60,187,2942,0.00,36.50,9.41,117,0.00,8.42,-6.38,28.16,2.32,0.00,-2.01,11.76,0.92
969699,-1.56,-8.59,14.70,13.60,187,2957,0.00,36.50,9.46,118,0.00,8.42,-6.38,28.58,2.34,0.00,-2.01,11.76,0.92
969946,-0.78,-8.59,14.70,13.60,187,2977,0.00,36.50,9.53,118,0.00,8.42,-6.38,28.36,2.32,0.00,-2.01,11.76,0.92
970190,-0.78,-8.59,14.81,13.60,187,2992,0.00,36.50,9.56,118,0.00,8.56,-6.24,28.36,2.32,0.00,-2.01,11.76,0.92
970432,-0.78,-8.59,14.59,13.60,187,3006,0.00,37.00,9.62,118,0.00,8.42,-6.38,28.36,2.32,0.00,-2.32,11.76,0.92
970678,-1.56,-8.59,14.59,13.60,187,3022,0.00,37.50,9.02,118,0.00,8.27,-6.53,27.84,2.32,0.00,-2.32,11.76,0.92
970925,-1.56,-8.59,14.59,13.60,187,3048,0.00,38.00,9.06,118,0.00,8.27,-6.96,24.19,2.22,0.00,-2.94,9.80,0.86
