Time (msec),A/F Correction #1 (%),A/F Learning #1 (%),A/F Sensor #1 (AFR),Battery Voltage (V),Coolant Temperature (F),Engine Load (Calculated) (g/rev),Engine Speed (rpm),Feedback Knock Correction (4-byte)* (degrees),Ignition Total Timing (degrees),Injector Duty Cycle (%),Intake Air Temperature (F),Knock Correction Advance (degrees),Manifold Absolute Pressure (psi),Manifold Relative Pressure (psi),Mass Airflow (g/s),Mass Airflow Sensor Voltage (V),Primary Wastegate Duty Cycle (%),Throttle Opening Angle (%),Volumetric Efficiency 2.5L (Calculated) (%)
36033,0.00,0.78,13.32,13.92,187,0.22,2949,0.00,40.50,2.50,118,0.00,5.80,-9.00,10.58,1.70,0.00,7.84,41.50
36352,0.00,0.78,13.09,13.84,187,0.23,2858,0.00,26.50,2.46,117,0.00,4.79,-10.01,10.98,1.72,0.00,7.84,53.27
36670,0.00,0.78,14.93,13.84,187,0.42,2692,0.00,38.00,5.17,117,0.00,6.24,-8.13,22.52,2.10,0.00,16.86,90.88
36988,0.00,0.78,14.13,13.84,187,0.79,2276,0.00,36.00,6.18,117,0.50,11.46,-3.19,29.93,2.34,0.00,20.00,78.39
37307,0.00,0.78,14.81,13.68,187,0.86,2256,0.00,34.00,6.66,117,1.50,12.91,-1.89,31.97,2.40,0.00,21.96,72.39
37626,0.00,0.78,14.47,13.68,187,0.88,2250,0.00,33.50,6.72,117,1.50,13.06,-1.60,32.46,2.40,0.00,21.96,71.30
37945,-1.56,0.78,14.59,13.68,185,0.89,2253,0.00,33.50,6.73,117,1.50,13.06,-1.60,32.62,2.40,0.00,21.96,71.88
38264,-2.34,0.78,14.59,13.76,185,0.86,2265,0.00,34.00,6.28,117,1.50,13.20,-1.45,32.84,2.40,0.00,21.96,72.43
38583,-3.91,0.78,14.59,13.76,185,0.88,2288,0.00,34.00,6.35,117,1.50,13.20,-1.45,32.94,2.40,0.00,21.96,72.38
38902,-3.12,0.78,14.70,13.76,185,0.89,2269,0.00,33.50,6.27,117,1.50,13.20,-1.45,33.28,2.42,0.00,21.96,71.20
39220,-2.34,0.78,14.70,13.92,185,0.90,2260,0.00,33.50,6.25,117,1.50,13.35,-1.45,33.17,2.40,0.00,21.96,70.48
39539,-2.34,0.78,14.70,13.84,185,0.89,2279,0.00,34.00,6.27,117,1.50,13.20,-1.45,33.62,2.42,0.00,21.96,72.22
39858,-3.12,0.78,14.70,13.84,185,0.89,2279,0.00,33.50,6.27,117,1.50,13.20,-1.45,33.85,2.40,0.00,21.96,70.65
40177,-3.12,0.78,14.70,13.68,185,0.88,2286,0.00,33.50,6.34,117,1.50,13.20,-1.45,34.09,2.42,0.00,21.96,71.03
40496,-2.34,0.78,14.70,13.92,185,0.88,2287,0.00,33.50,6.43,117,1.50,13.20,-1.45,33.73,2.42,0.00,21.96,71.32
40815,-3.12,0.78,14.70,13.76,185,0.88,2310,0.00,34.00,6.41,117,1.50,13.20,-1.45,33.97,2.42,0.00,21.96,72.19
41134,-3.12,0.78,14.70,13.84,185,0.90,2322,0.00,34.00,6.35,117,1.50,13.35,-1.31,34.94,2.44,0.00,22.75,72.74
41451,-3.91,0.78,14.70,13.84,185,0.91,2327,0.00,34.00,6.84,117,1.50,13.35,-1.31,35.31,2.44,0.00,22.75,72.16
41771,-3.12,0.78,14.70,13.92,185,0.96,2309,0.00,33.00,6.98,117,1.50,13.93,-0.73,36.83,2.50,0.00,24.71,72.32
42089,-3.91,0.78,14.70,13.84,185,0.97,2340,0.00,33.50,6.99,115,1.50,13.93,-0.73,36.94,2.48,0.00,24.71,74.24
42408,-4.69,0.78,14.59,13.84,185,0.98,2322,0.00,33.00,6.90,115,1.50,13.93,-0.73,37.19,2.50,0.00,24.71,71.64
42727,-4.69,0.78,14.70,13.92,185,0.96,2341,0.00,33.00,7.02,115,1.50,13.93,-0.73,37.56,2.50,0.00,24.71,73.48
43045,-4.69,0.78,14.70,13.92,185,0.97,2352,0.00,33.50,6.96,115,1.00,13.93,-0.73,37.69,2.50,0.00,24.71,72.71
43364,-5.47,0.78,14.70,13.68,185,0.97,2329,0.00,33.00,7.03,115,1.00,13.93,-0.73,37.68,2.50,0.00,24.71,73.27
